object_name,object_type,collection_path,all_collections,parent,triangles,vertices,material,hide_viewport,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,centroid_x,centroid_y,centroid_z
Flexor carpi radialis.r,MESH,Scene Collection/4: Muscular system,Scene Collection/4: Muscular system | Scene Collection/Bonus collection/Muscular system/Muscular system of upper limb/Muscles of upper limb/Anterior compartment of forearm | Scene Collection/Bonus collection/Nervous system/Peripheral nervous system/Spinal nerves/Brachial plexus/Median nerve | Scene Collection/Bonus collection/Muscular system/Muscles | Scene Collection/Bonus collection/Muscular system/Muscular system of upper limb/Muscles of upper limb | Scene Collection/Bonus collection/Regions of human body/Main divisions/Right upper limb,Superficial part of anterior compartment of forearm.g,1666,835,Flexion hand/foot,0,-0.281,-0.0361,0.8305,-0.1904,0.0316,1.1163,-0.2357,-0.0023,0.9734
Flexor digiti minimi of foot.l,MESH,Scene Collection/4: Muscular system,Scene Collection/4: Muscular system | Scene Collection/Bonus collection/Nervous system/Peripheral nervous system/Spinal nerves/Lumbosacral plexus/Sacral plexus/Sciatic nerve/Tibial nerve/Lateral plantar nerve | Scene Collection/Bonus collection/Regions of human body/Main divisions/Left lower limb | Scene Collection/Bonus collection/Muscular system/Muscles | Scene Collection/Bonus collection/Muscular system/Muscular system of lower limb/Muscles of lower limb/Muscles of foot | Scene Collection/Bonus collection/Muscular system/Muscular system of lower limb/Muscles of lower limb | Scene Collection/Bonus collection/Nervous system/Peripheral nervous system/Spinal nerves/Lumbosacral plexus/Sacral plexus/Sciatic nerve,Muscles of foot.g,464,230,Flexion fingers,0,0.1055,-0.0671,0.0089,0.1385,0.0056,0.0272,0.122,-0.0307,0.018
Flexor digiti minimi of foot.r,MESH,Scene Collection/4: Muscular system,Scene Collection/4: Muscular system | Scene Collection/Bonus collection/Nervous system/Peripheral nervous system/Spinal nerves/Lumbosacral plexus/Sacral plexus/Sciatic nerve/Tibial nerve/Lateral plantar nerve | Scene Collection/Bonus collection/Muscular system/Muscles | Scene Collection/Bonus collection/Muscular system/Muscular system of lower limb/Muscles of lower limb/Muscles of foot | Scene Collection/Bonus collection/Muscular system/Muscular system of lower limb/Muscles of lower limb | Scene Collection/Bonus collection/Regions of human body/Main divisions/Right lower limb | Scene Collection/Bonus collection/Nervous system/Peripheral nervous system/Spinal nerves/Lumbosacral plexus/Sacral plexus/Sciatic nerve,Muscles of foot.g,464,230,Flexion fingers,0,-0.1385,-0.0671,0.0089,-0.1055,0.0056,0.0272,-0.122,-0.0307,0.018
Flexor digiti minimi of hand.l,MESH,Scene Collection/4: Muscular system,Scene Collection/4: Muscular system | Scene Collection/Bonus collection/Regions of human body/Main divisions/Left upper limb | Scene Collection/Bonus collection/Muscular system/Muscles | Scene Collection/Bonus collection/Muscular system/Muscular system of upper limb/Muscles of upper limb/Muscles of hand | Scene Collection/Bonus collection/Muscular system/Muscular system of upper limb/Muscles of upper limb | Scene Collection/Bonus collection/Nervous system/Peripheral nervous system/Spinal nerves/Brachial plexus/Branches of medial cord of brachial plexus/Ulnar nerve,Muscles of hand.g,308,156,Flexion fingers,0,0.2334,-0.0483,0.7802,0.2521,-0.03,0.8421,0.2427,-0.0392,0.8111
Flexor digiti minimi of hand.r,MESH,Scene Collection/4: Muscular system,Scene Collection/4: Muscular system | Scene Collection/Bonus collection/Muscular system/Muscles | Scene Collection/Bonus collection/Muscular system/Muscular system of upper limb/Muscles of upper limb/Muscles of hand | Scene Collection/Bonus collection/Muscular system/Muscular system of upper limb/Muscles of upper limb | Scene Collection/Bonus collection/Regions of human body/Main divisions/Right upper limb | Scene Collection/Bonus collection/Nervous system/Peripheral nervous system/Spinal nerves/Brachial plexus/Branches of medial cord of brachial plexus/Ulnar nerve,Muscles of hand.g,308,156,Flexion fingers,0,-0.2521,-0.0483,0.7802,-0.2334,-0.03,0.8421,-0.2427,-0.0392,0.8111
Flexor digitorum brevis.l,MESH,Scene Collection/4: Muscular system,Scene Collection/4: Muscular system | Scene Collection/Bonus collection/Regions of human body/Main divisions/Left lower limb | Scene Collection/Bonus collection/Muscular system/Muscles | Scene Collection/Bonus collection/Muscular system/Muscular system of lower limb/Muscles of lower limb/Muscles of foot | Scene Collection/Bonus collection/Muscular system/Muscular system of lower limb/Muscles of lower limb | Scene Collection/Bonus collection/Nervous system/Peripheral nervous system/Spinal nerves/Lumbosacral plexus/Sacral plexus/Sciatic nerve,Muscles of foot.g,3224,1610,Flexion fingers,0,0.0651,-0.1196,0.0069,0.1436,0.0684,0.0269,0.1044,-0.0256,0.0169
Flexor digitorum brevis.r,MESH,Scene Collection/4: Muscular system,Scene Collection/4: Muscular system | Scene Collection/Bonus collection/Muscular system/Muscles | Scene Collection/Bonus collection/Muscular system/Muscular system of lower limb/Muscles of lower limb/Muscles of foot | Scene Collection/Bonus collection/Muscular system/Muscular system of lower limb/Muscles of lower limb | Scene Collection/Bonus collection/Regions of human body/Main divisions/Right lower limb | Scene Collection/Bonus collection/Nervous system/Peripheral nervous system/Spinal nerves/Lumbosacral plexus/Sacral plexus/Sciatic nerve,Muscles of foot.g,3224,1610,Flexion fingers,0,-0.1436,-0.1196,0.0069,-0.0651,0.0684,0.0269,-0.1044,-0.0256,0.0169
Flexor digitorum longus.l,MESH,Scene Collection/4: Muscular system,Scene Collection/4: Muscular system | Scene Collection/Bonus collection/Regions of human body/Main divisions/Left lower limb | Scene Collection/Bonus collection/Muscular system/Muscles | Scene Collection/Bonus collection/Muscular system/Muscular system of lower limb/Muscles of lower limb | Scene Collection/Bonus collection/Muscular system/Muscular system of lower limb/Muscles of lower limb/Posterior compartment of leg | Scene Collection/Bonus collection/Nervous system/Peripheral nervous system/Spinal nerves/Lumbosacral plexus/Sacral plexus/Sciatic nerve | Scene Collection/Bonus collection/Nervous system/Peripheral nervous system/Spinal nerves/Lumbosacral plexus/Sacral plexus/Sciatic nerve/Tibial nerve,Deep part of posterior compartment of leg.g,6836,3420,Flexion fingers,0,0.0488,-0.1284,0.0078,0.1433,0.0647,0.3514,0.096,-0.0318,0.1796
Flexor digitorum longus.r,MESH,Scene Collection/4: Muscular system,Scene Collection/4: Muscular system | Scene Collection/Bonus collection/Muscular system/Muscles | Scene Collection/Bonus collection/Muscular system/Muscular system of lower limb/Muscles of lower limb | Scene Collection/Bonus collection/Muscular system/Muscular system of lower limb/Muscles of lower limb/Posterior compartment of leg | Scene Collection/Bonus collection/Regions of human body/Main divisions/Right lower limb | Scene Collection/Bonus collection/Nervous system/Peripheral nervous system/Spinal nerves/Lumbosacral plexus/Sacral plexus/Sciatic nerve | Scene Collection/Bonus collection/Nervous system/Peripheral nervous system/Spinal nerves/Lumbosacral plexus/Sacral plexus/Sciatic nerve/Tibial nerve,Deep part of posterior compartment of leg.g,6836,3420,Flexion fingers,0,-0.1433,-0.1284,0.0078,-0.0488,0.0647,0.3514,-0.096,-0.0318,0.1796
Flexor digitorum profundus.l,MESH,Scene Collection/4: Muscular system,Scene Collection/4: Muscular system | Scene Collection/Bonus collection/Muscular system/Muscular system of upper limb/Muscles of upper limb/Anterior compartment of forearm | Scene Collection/Bonus collection/Regions of human body/Main divisions/Left upper limb | Scene Collection/Bonus collection/Nervous system/Peripheral nervous system/Spinal nerves/Brachial plexus/Median nerve | Scene Collection/Bonus collection/Muscular system/Muscles | Scene Collection/Bonus collection/Muscular system/Muscular system of upper limb/Muscles of upper limb | Scene Collection/Bonus collection/Nervous system/Peripheral nervous system/Spinal nerves/Brachial plexus/Branches of medial cord of brachial plexus/Ulnar nerve,Deep part of anterior compartment of forearm.g,7110,3559,Flexion fingers,0,0.2105,-0.0881,0.7115,0.317,0.034,1.0765,0.2638,-0.0271,0.894
